"","GPS_LAT","GPS_LONG","class"
"1",57.35629,22.1554,"5"
"2",57.65484,22.26696,"5"
"3",57.51025,22.25009,"5"
"4",57.65748,22.2924,"5"
"5",57.52477,22.42846,"5"
"6",57.54616,22.43291,"5"
"7",57.345,22.46448,"5"
"8",57.17461,22.91336,"5"
"9",57.30235,23.05114,"5"
"10",56.53357,22.92759,"5"
"11",56.9516,23.47564,"5"
"12",56.95447,23.54591,"5"
"13",56.83263,23.72383,"5"
"14",57.04145,24.00916,"5"
"15",56.74854,24.66877,"5"
"16",56.68612,25.30481,"5"
"17",56.21175,25.48649,"5"
"18",56.38246,25.56026,"5"
"19",56.45775,25.58846,"5"
"20",56.40024,25.59677,"5"
"21",56.47609,25.72848,"5"
"22",56.29294,25.73338,"5"
"23",56.25731,26.00823,"5"
"24",56.639,26.33323,"5"
"25",56.59771,26.3453,"5"
"26",56.52736,26.48563,"5"
"27",57.46782,26.91103,"5"
"28",55.98222,26.64418,"5"
"29",56.53003,26.95816,"5"
"30",56.8691,27.11099,"5"
"31",56.90402,27.45847,"5"
"32",57.45368,26.14886,"5"
"33",56.49838,22.91371,"5"
"34",56.92105,27.27149,"5"
"35",56.98235,27.368,"5"
"36",57.00468,27.46809,"5"
"37",57.31166,21.5407,"5"
"38",56.99914,22.09242,"5"
"39",57.26335,22.16883,"5"
"40",57.03936,22.12719,"5"
"41",57.52383,22.42219,"5"
"42",57.45002,22.50165,"5"
"43",57.095,23.0661,"5"
"44",56.81918,24.00232,"5"
"45",56.55305,28.04418,"5"
"46",57.51896,25.76597,"5"
"47",55.92625,26.85318,"5"
"48",55.9972,27.15091,"5"
"49",56.33999,27.34315,"5"
"50",56.39185,27.36259,"5"
"51",56.17944,27.2986,"5"
"52",56.21272,27.31245,"5"
"53",56.82095,26.91364,"5"
"54",55.99721,27.28227,"5"
"55",56.1643,27.4221,"5"
"56",56.72834,27.89157,"5"
"57",56.3487,27.81144,"5"
"58",56.62251,27.9412,"5"
"59",56.21633,27.80591,"5"
"60",56.21613,27.84213,"5"
"61",56.56302,28.03176,"5"
"62",56.94476,25.5224,"5"
"63",57.23765,26.08968,"5"
"64",57.22318,26.36018,"5"
"65",57.08734,26.42901,"5"
"66",56.23746,26.00313,"5"
"67",56.03253,26.39405,"5"
"68",56.01471,26.46163,"5"
"69",56.01542,26.16532,"5"
"70",57.32403,26.87794,"5"
"71",56.54155,26.62746,"5"
"72",56.43456,26.65474,"5"
"73",56.52464,26.67034,"5"
"74",56.29835,27.12018,"5"
"75",56.67733,21.1434,"5"
"76",57.28638,24.66617,"5"
"77",56.26289,21.24282,"5"
"78",56.55426,21.77686,"5"
"79",56.65907,22.0072,"5"
"80",56.73684,22.52979,"5"
"81",56.37326,26.24707,"5"
"82",56.49847,26.38547,"5"
"83",56.64928,26.44707,"5"
"84",56.72543,26.53654,"5"
"85",56.49404,26.61404,"5"
"86",56.79112,23.55233,"5"
"87",56.79111,23.61297,"5"
"88",57.6713,24.88972,"5"
"89",57.31004,24.55188,"5"
"90",57.69875,25.01801,"5"
"91",57.90274,25.11381,"5"
"92",57.01894,24.76633,"5"
"93",57.55222,24.97339,"5"
"94",57.88868,25.12402,"5"
"95",56.94995,24.76893,"5"
"96",57.71843,25.13334,"5"
"97",57.41719,25.07277,"5"
"98",57.10498,25.03592,"5"
